segment_id,mean,std,min,max
S1,2.9889800140955587,0.2920356869674507,2.2504519236385647,3.833493912465732
S10,8.432055714072254,0.9945628736235922,7.150302222504758,11.163156900477405
S11,5.434805085395737,1.196913258161816,3.4203928090763798,9.003230852061302
S12,0.2525454321855716,0.32580910044319045,0.0,1.393062452736159
S13,4.679672590829732,1.060411399318372,2.6751720578893137,7.791796689406509
S14,4.672880973625211,1.1237175047102141,2.666917586374123,8.077172728284895
S15,4.655368876699534,1.1648257042368697,2.706918880276026,8.161259331714838
S2,2.985030147310326,0.301506965869984,2.150090912957178,3.97292789087842
S3,11.694849839100652,1.5289190601431206,10.30724488061454,15.723503002673526
S4,2.9961502818642827,0.36036615864551963,2.1252013684678364,4.138797512682642
S5,11.688528541149712,1.549068098679578,9.645298362753223,15.918677477613256
S6,9.501491070447468,1.1672092724800949,8.190934007117528,12.81926016996707
S7,2.9842481418163866,0.46775567681282965,1.7569805297089642,4.480117047868316
S8,6.052152117215175,1.7875163167692678,4.209960037391952,11.00026159794762
S9,4.784525296129642,1.1309852181652653,2.766080797819854,8.071571154081484
